               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10584,             0.15399,                   0,           0.0030396,              0.2987,            0.006119,           0.0011392,            0.088987,             0.10418,                   0,           0.0033121,           0.0033121,            0.070191
                   1,            0.087738,            0.078046,                   0,              0.1549,            0.090861,            0.054239,            0.010024,             0.07333,            0.063872,                   0,           0.0053296,           0.0053296,            0.038875
                   2,            0.078545,            0.053484,                   0,             0.23724,              0.2907,              0.1621,            0.034627,            0.060935,            0.048708,                   0,           0.0060272,           0.0060272,           0.0062395
                   3,            0.071347,            0.046468,                   0,             0.38574,             0.43032,             0.33506,            0.090386,            0.056873,            0.044139,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.065735,            0.043222,                   0,             0.42939,             0.38289,             0.34145,             0.09712,             0.05407,            0.045846,                   0,             0.00406,             0.00406,             0.00406
