               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1046,             0.15479,                   0,           0.0035273,              0.3405,           0.0046289,          0.00090699,            0.082846,             0.11461,                   0,           0.0033121,           0.0033121,            0.070191
                   1,            0.088852,            0.081784,                   0,             0.10591,            0.095634,            0.029318,           0.0052319,            0.075713,            0.067878,                   0,           0.0044524,           0.0044524,            0.037998
                   2,             0.08006,            0.058197,                   0,             0.18694,             0.28928,             0.13022,            0.024917,            0.067121,            0.053926,                   0,           0.0033928,           0.0033928,           0.0036051
